Disease,Question
Alzheimer,"Tôi hiện đang có các triệu chứng như không thể hiểu được sự kiện xảy ra ngay lúc đó. Tôi có thể đang bị bệnh gì?
"
Alzheimer,Tôi đang cảm thấy mất dần trí nhớ dài hạn và khả năng nhận thức suy giảm. Tôi có thể đang bị bệnh gì?
Buồng Trứng Đa Nang,"Tôi hiện đang có các triệu chứng như kinh nguyệt không đều, rậm lông và tăng cân. Tôi có thể đang bị bệnh gì?
"
Buồng Trứng Đa Nang,"Tôi đang cảm thấy khó chịu ở vùng chậu, da mặt nhờn mụn và kinh nguyệt thất thường. Tôi có thể đang bị bệnh gì?
"
Buồng Trứng Đa Nang,"Tôi hay bị đau đầu, thay đổi tâm trạng và kinh nguyệt kéo dài bất thường. Tôi có thể đang bị bệnh gì?
"
Buồng Trứng Đa Nang,"Tôi hiện đang có các triệu chứng như rụng tóc, da sạm màu và kinh nguyệt thưa dần. Tôi có thể đang bị bệnh gì?
"
Buồng Trứng Đa Nang,"Tôi đang cảm thấy mệt mỏi, tăng cân không kiểm soát và khó thụ thai. Tôi có thể đang bị bệnh gì?
"
Buồng Trứng Đa Nang,"Tôi hay bị đau bụng dưới, kinh nguyệt ít và rậm lông ở vùng mặt. Tôi có thể đang bị bệnh gì?
"
Buồng Trứng Đa Nang,"Tôi hiện đang có các triệu chứng như da dầu, mụn trứng cá và kinh nguyệt không đều. Tôi có thể đang bị bệnh gì?
"
Buồng Trứng Đa Nang,"Tôi đang cảm thấy lo lắng, trầm cảm và khó khăn trong việc giảm cân. Tôi có thể đang bị bệnh gì?
"
Buồng Trứng Đa Nang,"Tôi hay bị đau lưng, kinh nguyệt kéo dài và rậm lông ở vùng ngực. Tôi có thể đang bị bệnh gì?
"
Buồng Trứng Đa Nang,"Tôi hiện đang có các triệu chứng như tăng cân, da sạm màu và kinh nguyệt thưa. Tôi có thể đang bị bệnh gì?
"
Buồng Trứng Đa Nang,"Tôi đang cảm thấy khó chịu vùng bụng dưới, kinh nguyệt ra nhiều và rậm lông. Tôi có thể đang bị bệnh gì?
"
Buồng Trứng Đa Nang,"Tôi hay bị đau đầu, thay đổi tâm trạng và khó khăn trong việc có con. Tôi có thể đang bị bệnh gì?
"
Buồng Trứng Đa Nang,"Tôi hiện đang có các triệu chứng như rụng tóc, da dầu và kinh nguyệt không đều. Tôi có thể đang bị bệnh gì?
"
Buồng Trứng Đa Nang,"Tôi đang cảm thấy lo lắng, stress và khó kiểm soát cân nặng. Tôi có thể đang bị bệnh gì?
"
Buồng Trứng Đa Nang,"Tôi hay bị đau lưng, kinh nguyệt không đều và rậm lông ở bụng. Tôi có thể đang bị bệnh gì?
"
Buồng Trứng Đa Nang,"Tôi hiện đang có các triệu chứng như tăng cân, mọc mụn và kinh nguyệt thưa. Tôi có thể đang bị bệnh gì?
"
Buồng Trứng Đa Nang,"Tôi đang cảm thấy mệt mỏi, da sạm màu và khó khăn trong việc thụ thai. Tôi có thể đang bị bệnh gì?
"
Buồng Trứng Đa Nang,"Tôi hay bị đau bụng dưới, kinh nguyệt ra ít và rậm lông ở mặt. Tôi có thể đang bị bệnh gì?
"
Buồng Trứng Đa Nang,"Tôi hiện đang có các triệu chứng như da dầu, mụn trứng cá và kinh nguyệt thất thường. Tôi có thể đang bị bệnh gì?
"
Buồng Trứng Đa Nang,"Tôi đang cảm thấy lo lắng, trầm cảm và khó giảm cân. Tôi có thể đang bị bệnh gì?"
Bàn Chân Đái Tháo Đường,"Tôi hiện đang có các triệu chứng như tê buốt bàn chân và cảm giác đi như trên cát. Tôi có thể đang bị bệnh gì?
"
Bàn Chân Đái Tháo Đường,"Tôi đang cảm thấy bàn chân lạnh buốt, da khô và nứt nẻ. Tôi có thể đang bị bệnh gì?
"
Bàn Chân Đái Tháo Đường,"Tôi hay bị chuột rút ở bàn chân và có vết loét nhỏ. Tôi có thể đang bị bệnh gì?
"
Bàn Chân Đái Tháo Đường,"Tôi đang gặp tình trạng mất cảm giác bàn chân và có vết thương lâu lành. Tôi có thể đang bị bệnh gì?
"
Bàn Chân Đái Tháo Đường,"Tôi bị phồng rộp nước ở bàn chân và có dấu hiệu nhiễm trùng. Tôi có thể đang bị bệnh gì?
"
Bàn Chân Đái Tháo Đường,"Tôi có các triệu chứng tê bì bàn chân, teo cơ và vết thương chảy dịch mủ. Tôi có thể đang bị bệnh gì?
"
Bàn Chân Đái Tháo Đường,"Tôi thấy da bàn chân chuyển màu đen và có mùi hôi. Tôi có thể đang bị bệnh gì?
"
Bàn Chân Đái Tháo Đường,"Tôi hay bị đau nhức xương khớp và có vết loét ở bàn chân. Tôi có thể đang bị bệnh gì?
"
Bàn Chân Đái Tháo Đường,"Tôi bị sốt cao, mệt mỏi và vết thương bàn chân lan rộng. Tôi có thể đang bị bệnh gì?
"
Bàn Chân Đái Tháo Đường,"Tôi cảm thấy bàn chân nóng rát và có vết loét sâu. Tôi có thể đang bị bệnh gì?
"
Bàn Chân Đái Tháo Đường,"Tôi bị mất cảm giác ở ngón chân và có vết thương lâu lành. Tôi có thể đang bị bệnh gì?
"
Bàn Chân Đái Tháo Đường,"Tôi thấy da bàn chân khô ráp, rụng lông và có vết nứt. Tôi có thể đang bị bệnh gì?
"
Bàn Chân Đái Tháo Đường,"Tôi bị đau buốt bàn chân về đêm và có vết loét chảy máu. Tôi có thể đang bị bệnh gì?
"
Bàn Chân Đái Tháo Đường,"Tôi cảm thấy bàn chân tê cứng và có vết thương nhiễm trùng. Tôi có thể đang bị bệnh gì?
"
Bàn Chân Đái Tháo Đường,"Tôi thấy da bàn chân sưng đỏ và có vết loét chứa mủ. Tôi có thể đang bị bệnh gì?
"
Bàn Chân Đái Tháo Đường,"Tôi bị đau nhức xương bàn chân và khó khăn khi đi lại. Tôi có thể đang bị bệnh gì?
"
Bàn Chân Đái Tháo Đường,"Tôi thấy ngón chân bị thâm đen và có dấu hiệu hoại tử. Tôi có thể đang bị bệnh gì?
"
Bàn Chân Đái Tháo Đường,"Tôi bị sốt, ớn lạnh và vết loét bàn chân lan rộng. Tôi có thể đang bị bệnh gì?
"
Bàn Chân Đái Tháo Đường,"Tôi cảm thấy bàn chân yếu ớt và có vết thương lâu lành. Tôi có thể đang bị bệnh gì?
"
Bàn Chân Đái Tháo Đường,"Tôi thấy da bàn chân mỏng, dễ bị tổn thương và có vết loét. Tôi có thể đang bị bệnh gì?"
Bàng Quang Tăng Hoạt,"Tôi hiện đang có các triệu chứng như buồn tiểu đột ngột và sợ bị rò rỉ nước tiểu. Tôi có thể đang bị bệnh gì?
"
Bàng Quang Tăng Hoạt,"Tôi đang cảm thấy tiểu gấp ngay khi vừa có cảm giác buồn tiểu. Tôi có thể đang bị bệnh gì?
"
Bàng Quang Tăng Hoạt,"Tôi hay đi tiểu thường xuyên, trên 8 lần trong 24 giờ. Tôi có thể đang bị bệnh gì?
"
Bàng Quang Tăng Hoạt,"Tôi hay thức dậy hơn 2 lần trong đêm để đi tiểu. Tôi có thể đang bị bệnh gì?
"
Bàng Quang Tăng Hoạt,"Tôi đang gặp phải tình trạng buồn tiểu đột ngột và tiểu không tự chủ. Tôi có thể đang bị bệnh gì?
"
Bàng Quang Tăng Hoạt,"Tôi cảm thấy buồn tiểu liên tục và không thể nhịn được. Tôi có thể đang bị bệnh gì?
"
Bàng Quang Tăng Hoạt,"Tôi phải đi tiểu nhiều lần trong ngày và cả đêm. Tôi có thể đang bị bệnh gì?
"
Bàng Quang Tăng Hoạt,"Tôi thức dậy nhiều lần vào ban đêm vì buồn tiểu. Tôi có thể đang bị bệnh gì?
"
Bàng Quang Tăng Hoạt,"Tôi bị són tiểu khi ho hoặc hắt hơi. Tôi có thể đang bị bệnh gì?
"
Bàng Quang Tăng Hoạt,"Bàng quang của tôi dường như luôn đầy và cần đi tiểu ngay lập tức. Tôi có thể đang bị bệnh gì?
"
Bàng Quang Tăng Hoạt,"Tôi cảm thấy đau hoặc khó chịu khi đi tiểu. Tôi có thể đang bị bệnh gì?
"
Bàng Quang Tăng Hoạt,"Tôi gặp khó khăn khi bắt đầu đi tiểu. Tôi có thể đang bị bệnh gì?
"
Bàng Quang Tăng Hoạt,"Dòng nước tiểu của tôi yếu hoặc ngắt quãng. Tôi có thể đang bị bệnh gì?
"
Bàng Quang Tăng Hoạt,"Tôi cảm thấy bàng quang không hoàn toàn trống rỗng sau khi đi tiểu. Tôi có thể đang bị bệnh gì?
"
Bàng Quang Tăng Hoạt,"Tôi bị đau bụng dưới. Tôi có thể đang bị bệnh gì?
"
Bàng Quang Tăng Hoạt,"Tôi bị sốt và ớn lạnh. Tôi có thể đang bị bệnh gì?
"
Bàng Quang Tăng Hoạt,"Nước tiểu của tôi có màu đục hoặc có máu. Tôi có thể đang bị bệnh gì?
"
Bàng Quang Tăng Hoạt,"Tôi có mùi hôi bất thường trong nước tiểu. Tôi có thể đang bị bệnh gì?
"
Bàng Quang Tăng Hoạt,"Tôi cảm thấy mệt mỏi và yếu ớt. Tôi có thể đang bị bệnh gì?
"
Bàng Quang Tăng Hoạt,Các triệu chứng của tôi ảnh hưởng đến chất lượng cuộc sống của tôi. Tôi có thể đang bị bệnh gì?
Béo Phì Độ 1,"Tôi hiện đang có các triệu chứng như số đo vòng eo tăng và thường xuyên có cảm giác đói bụng. Tôi có thể đang bị bệnh gì?
"
Béo Phì Độ 1,"Tôi đang cảm thấy thị lực bị giảm sút và xuất hiện chứng ngủ ngáy. Tôi có thể đang bị bệnh gì?
"
Béo Phì Độ 1,"Tôi hay bị ợ hơi sau khi ăn và có cảm giác khó thở trong thời gian dài. Tôi có thể đang bị bệnh gì?
"
Béo Phì Độ 1,"Tôi đang gặp vấn đề về da như rạn da và sạm da. Tôi có thể đang bị bệnh gì?
"
Béo Phì Độ 1,"Tôi cảm thấy cơ thể thường xuyên mệt mỏi và trì trệ, kèm theo đau đầu gối. Tôi có thể đang bị bệnh gì?
"
Béo Phì Độ 1,"Tôi hay bị đau lưng và hông, kèm theo số đo vòng eo tăng. Tôi có thể đang bị bệnh gì?
"
Béo Phì Độ 1,"Tôi đang gặp vấn đề về chu kỳ kinh nguyệt không đều và thường xuyên có cảm giác đói bụng. Tôi có thể đang bị bệnh gì?
"
Béo Phì Độ 1,"Tôi thấy da vùng cổ bị chảy xệ và thị lực bị giảm sút. Tôi có thể đang bị bệnh gì?
"
Béo Phì Độ 1,"Tôi hay bị suy giãn tĩnh mạch và xuất hiện chứng ngủ ngáy. Tôi có thể đang bị bệnh gì?
"
Béo Phì Độ 1,"Tôi cảm thấy khó thở trong thời gian dài và cơ thể thường xuyên mệt mỏi. Tôi có thể đang bị bệnh gì?
"
Béo Phì Độ 1,"Tôi có số đo vòng eo/mông trên 0.85 (nữ) và thường xuyên bị ợ hơi sau khi ăn. Tôi có thể đang bị bệnh gì?
"
Béo Phì Độ 1,"Tôi bị đau đầu gối và hông, kèm theo cảm giác mệt mỏi và trì trệ. Tôi có thể đang bị bệnh gì?
"
Béo Phì Độ 1,"Tôi thấy da bị rạn và sạm, cùng với chu kỳ kinh nguyệt không đều. Tôi có thể đang bị bệnh gì?
"
Béo Phì Độ 1,"Tôi thường xuyên cảm thấy đói bụng và thị lực bị giảm sút. Tôi có thể đang bị bệnh gì?
"
Béo Phì Độ 1,"Tôi bị suy giãn tĩnh mạch và da vùng cổ bị chảy xệ. Tôi có thể đang bị bệnh gì?
"
Béo Phì Độ 1,"Tôi hay bị đau lưng và xuất hiện chứng ngủ ngáy. Tôi có thể đang bị bệnh gì?
"
Béo Phì Độ 1,"Tôi cảm thấy khó thở và cơ thể mệt mỏi, kèm theo số đo vòng eo tăng. Tôi có thể đang bị bệnh gì?
"
Béo Phì Độ 1,"Tôi bị ợ hơi sau khi ăn và da bị rạn. Tôi có thể đang bị bệnh gì?
"
Béo Phì Độ 1,"Tôi thấy da sạm màu và chu kỳ kinh nguyệt không đều. Tôi có thể đang bị bệnh gì?
"
Béo Phì Độ 1,"Tôi bị đau đầu gối và hông, kèm theo thị lực giảm sút. Tôi có thể đang bị bệnh gì?"
Béo Phì,"Tôi hiện đang có số đo vòng eo lớn và thường xuyên cảm thấy đói bụng. Tôi có thể đang bị bệnh gì?
"
Béo Phì,"Tôi đang cảm thấy khó thở khi vận động và cơ thể mệt mỏi, trì trệ. Tôi có thể đang bị bệnh gì?
"
Béo Phì,"Tôi hay bị đau nhức xương khớp, đặc biệt là vùng lưng và hông. Tôi có thể đang bị bệnh gì?
"
Béo Phì,"Tôi đang gặp triệu chứng rạn da, sạm da và da vùng cổ bị chảy xệ. Tôi có thể đang bị bệnh gì?
"
Béo Phì,"Tôi thường xuyên bị ợ hơi sau khi ăn và có cảm giác đầy bụng, khó tiêu. Tôi có thể đang bị bệnh gì?
"
Béo Phì,"Tôi hiện đang có chu kỳ kinh nguyệt không đều và khó thụ thai. Tôi có thể đang bị bệnh gì?
"
Béo Phì,"Tôi đang cảm thấy khó thở khi nằm ngửa, phải nằm nghiêng mới dễ thở hơn. Tôi có thể đang bị bệnh gì?
"
Béo Phì,"Tôi hay bị ngủ ngáy và thường xuyên thức giấc vào ban đêm. Tôi có thể đang bị bệnh gì?
"
Béo Phì,"Tôi đang gặp triệu chứng suy giãn tĩnh mạch và tê bì chân tay. Tôi có thể đang bị bệnh gì?
"
Béo Phì,"Tôi thường xuyên bị đau đầu, chóng mặt và thị lực giảm sút. Tôi có thể đang bị bệnh gì?
"
Béo Phì,"Tôi hiện đang có huyết áp cao và cholesterol cao. Tôi có thể đang bị bệnh gì?
"
Béo Phì,"Tôi đang cảm thấy mệt mỏi, chán ăn và sụt cân không rõ nguyên nhân. Tôi có thể đang bị bệnh gì?
"
Béo Phì,"Tôi hay bị khát nước và tiểu nhiều, đặc biệt là vào ban đêm. Tôi có thể đang bị bệnh gì?
"
Béo Phì,"Tôi đang gặp triệu chứng rối loạn giấc ngủ và khó tập trung. Tôi có thể đang bị bệnh gì?
"
Béo Phì,"Tôi thường xuyên bị táo bón và đầy hơi. Tôi có thể đang bị bệnh gì?
"
Béo Phì,"Tôi hiện đang có nguy cơ mắc bệnh tim mạch và tiểu đường. Tôi có thể đang bị bệnh gì?
"
Béo Phì,"Tôi đang cảm thấy tự ti về ngoại hình và ngại giao tiếp xã hội. Tôi có thể đang bị bệnh gì?
"
Béo Phì,"Tôi hay bị đau nhức xương khớp khi vận động hoặc thay đổi tư thế. Tôi có thể đang bị bệnh gì?
"
Béo Phì,"Tôi đang gặp triệu chứng rụng tóc và da khô. Tôi có thể đang bị bệnh gì?
"
Béo Phì,"Tôi thường xuyên bị mệt mỏi, khó thở và đau tức ngực khi leo cầu thang hoặc gắng sức. Tôi có thể đang bị bệnh gì?"
Băng Huyết Sau Sinh,"Tôi đang ra máu nhiều một cách bất thường sau khi sinh. Tôi có thể đang bị bệnh gì?
"
Băng Huyết Sau Sinh,"Tôi thấy máu chảy có màu đỏ tươi và rỉ ra liên tục sau sinh. Tôi có thể đang bị bệnh gì?
"
Băng Huyết Sau Sinh,"Tôi cảm thấy mạch nhanh, huyết áp tụt, tay chân lạnh và vã mồ hôi sau sinh. Tôi có thể đang bị bệnh gì?
"
Băng Huyết Sau Sinh,"Da của tôi xanh xao và ra máu nhiều sau sinh. Tôi có thể đang bị bệnh gì?
"
Băng Huyết Sau Sinh,"Tử cung của tôi có vẻ to ra và mềm nhão sau sinh. Tôi có thể đang bị bệnh gì?
"
Băng Huyết Sau Sinh,"Đáy tử cung của tôi lên cao dần sau sinh. Tôi có thể đang bị bệnh gì?
"
Băng Huyết Sau Sinh,"Tôi cảm thấy đau bụng dữ dội sau sinh. Tôi có thể đang bị bệnh gì?
"
Băng Huyết Sau Sinh,"Tôi bị chóng mặt và choáng váng sau sinh. Tôi có thể đang bị bệnh gì?
"
Băng Huyết Sau Sinh,"Tôi cảm thấy khó thở sau sinh. Tôi có thể đang bị bệnh gì?
"
Băng Huyết Sau Sinh,"Tôi bị ngất xỉu sau sinh. Tôi có thể đang bị bệnh gì?
"
Băng Huyết Sau Sinh,"Vết mổ của tôi chảy máu nhiều sau sinh mổ. Tôi có thể đang bị bệnh gì?
"
Băng Huyết Sau Sinh,"Tôi bị sốt sau sinh. Tôi có thể đang bị bệnh gì?
"
Băng Huyết Sau Sinh,"Tôi có mùi hôi khó chịu từ vùng kín sau sinh. Tôi có thể đang bị bệnh gì?
"
Băng Huyết Sau Sinh,"Tôi cảm thấy ớn lạnh sau sinh. Tôi có thể đang bị bệnh gì?
"
Băng Huyết Sau Sinh,"Tôi bị đau đầu dữ dội sau sinh. Tôi có thể đang bị bệnh gì?
"
Băng Huyết Sau Sinh,"Tôi bị mờ mắt sau sinh. Tôi có thể đang bị bệnh gì?
"
Băng Huyết Sau Sinh,"Tôi cảm thấy buồn nôn và nôn sau sinh. Tôi có thể đang bị bệnh gì?
"
Băng Huyết Sau Sinh,"Tôi bị tiêu chảy sau sinh. Tôi có thể đang bị bệnh gì?
"
Băng Huyết Sau Sinh,"Tôi bị đau khi đi tiểu sau sinh. Tôi có thể đang bị bệnh gì?
"
Băng Huyết Sau Sinh,Tôi bị táo bón sau sinh. Tôi có thể đang bị bệnh gì?
Bướu Cổ Lành Tính,"Tôi hiện đang có các triệu chứng như sưng ở cổ, khó nuốt và khàn tiếng. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Lành Tính,"Tôi đang cảm thấy khó thở khi gắng sức, ho khan và có khối u ở cổ. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Lành Tính,"Tôi hay bị ngáy ngủ, khó nuốt và có khối u ở cổ lớn dần. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Lành Tính,"Tôi hiện đang có các triệu chứng như sưng ở cổ, khó thở và khàn tiếng. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Lành Tính,"Tôi đang cảm thấy mệt mỏi, tăng cân và không chịu được lạnh. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Lành Tính,"Tôi hay bị đánh trống ngực, khó ngủ và có khối u ở cổ. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Lành Tính,"Tôi hiện đang có các triệu chứng như khô da, táo bón và có khối u ở cổ. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Lành Tính,"Tôi đang cảm thấy khó chịu ở cổ họng, khó nuốt và có khối u ở cổ. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Lành Tính,"Tôi hay bị run tay, lo lắng và sụt cân không rõ lý do. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Lành Tính,"Tôi hiện đang có các triệu chứng như táo bón, da khô và rụng tóc. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Lành Tính,"Tôi đang cảm thấy khó thở, khàn tiếng và có khối u ở cổ phát triển nhanh. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Lành Tính,"Tôi hay bị run tay, lo lắng và khó chịu nóng bức. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Lành Tính,"Tôi hiện đang có các triệu chứng như mệt mỏi, tăng cân và chậm chạp. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Lành Tính,"Tôi đang cảm thấy khó chịu ở cổ họng, khó nuốt và có khối u chèn ép. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Lành Tính,"Tôi hay bị đánh trống ngực, mất ngủ và giảm cân không rõ lý do. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Lành Tính,"Tôi hiện đang có các triệu chứng như táo bón, da khô và rụng tóc nhiều. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Lành Tính,"Tôi đang cảm thấy khó thở, khàn tiếng và có khối u ở cổ lớn dần. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Lành Tính,"Tôi hay bị run tay, lo lắng và khó chịu nóng bức. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Lành Tính,"Tôi hiện đang có các triệu chứng như mệt mỏi, tăng cân và chậm chạp. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Lành Tính,"Tôi đang cảm thấy khó chịu ở cổ họng, khó nuốt và có khối u chèn ép. Tôi có thể đang bị bệnh gì?"
Bướu Cổ Ác Tính,"Tôi hiện đang có các triệu chứng như khó thở, ho khan và có khối u ở cổ. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Ác Tính,"Tôi đang cảm thấy mệt mỏi, sụt cân không rõ nguyên nhân và có hạch ở cổ. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Ác Tính,"Tôi hay đau xương, khó thở và có tiền sử bướu cổ. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Ác Tính,"Tôi hiện đang có các triệu chứng như khàn tiếng, khó nuốt và có khối u phát triển nhanh ở cổ. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Ác Tính,"Tôi đang cảm thấy lo lắng, tim đập nhanh và sụt cân không rõ lý do. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Ác Tính,"Tôi hay bị đau đầu, mờ mắt và có tiền sử bướu cổ. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Ác Tính,"Tôi hiện đang có các triệu chứng như vàng da, đau bụng và có khối u ở cổ. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Ác Tính,"Tôi đang cảm thấy yếu cơ, khó thở và có hạch ở cổ. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Ác Tính,"Tôi hay bị ho ra máu, đau ngực và có tiền sử bướu cổ. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Ác Tính,"Tôi hiện đang có các triệu chứng như sưng phù mặt, khó thở và có khối u chèn ép ở cổ. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Ác Tính,"Tôi đang cảm thấy đau nhức xương, gãy xương tự nhiên và có tiền sử bướu cổ. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Ác Tính,"Tôi hay bị khó nuốt, khàn tiếng và có khối u ở cổ phát triển nhanh. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Ác Tính,"Tôi hiện đang có các triệu chứng như mệt mỏi, chán ăn và sụt cân không rõ nguyên nhân. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Ác Tính,"Tôi đang cảm thấy khó thở khi nằm, ho ra máu và có khối u ở cổ. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Ác Tính,"Tôi hay bị đau đầu dữ dội, buồn nôn và có tiền sử bướu cổ. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Ác Tính,"Tôi hiện đang có các triệu chứng như sưng hạch bạch huyết, mệt mỏi và có khối u ở cổ. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Ác Tính,"Tôi đang cảm thấy yếu cơ, khó thở khi gắng sức và có khối u chèn ép ở cổ. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Ác Tính,"Tôi hay bị đau nhức xương, tê bì chân tay và có tiền sử bướu cổ. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Ác Tính,"Tôi hiện đang có các triệu chứng như khó nuốt, khàn tiếng kéo dài và có khối u ở cổ. Tôi có thể đang bị bệnh gì?
"
Bướu Cổ Ác Tính,"Tôi đang cảm thấy khó thở, ho ra máu và có hạch nổi ở cổ. Tôi có thể đang bị bệnh gì?"
Bướu Giáp Keo,"Tôi thấy tuyến giáp của mình phình to, đôi khi gây khó thở. Tôi có thể đang bị bệnh gì?
"
Bướu Giáp Keo,"Tôi hay bị khó nuốt, cảm giác như có vật gì chèn ép thực quản. Tôi có thể đang bị bệnh gì?
"
Bướu Giáp Keo,"Tôi đang cảm thấy tuyến giáp phình to, đôi khi gây khó thở khi nằm. Tôi có thể đang bị bệnh gì?
"
Bướu Giáp Keo,"Tôi bị phình tĩnh mạch cổ, khó thở và tuyến giáp to. Tôi có thể đang bị bệnh gì?
"
Bướu Giáp Keo,"Tôi hay bị chóng mặt khi đưa cánh tay lên cao, tuyến giáp phình to. Tôi có thể đang bị bệnh gì?
"
Bướu Giáp Keo,"Tôi đang cảm thấy tuyến giáp của mình có một nốt nhỏ, đôi khi gây khó nuốt. Tôi có thể đang bị bệnh gì?
"
Bướu Giáp Keo,"Tôi bị khó thở, tuyến giáp to và phình tĩnh mạch cổ. Tôi có thể đang bị bệnh gì?
"
Bướu Giáp Keo,"Tôi hay bị chóng mặt khi vận động mạnh, tuyến giáp phình to. Tôi có thể đang bị bệnh gì?
"
Bướu Giáp Keo,"Tôi đang cảm thấy tuyến giáp của mình to lên, đôi khi gây khó thở khi nằm ngửa. Tôi có thể đang bị bệnh gì?
"
Bướu Giáp Keo,"Tôi bị khó nuốt, tuyến giáp to và phình tĩnh mạch cổ. Tôi có thể đang bị bệnh gì?
"
Bướu Giáp Keo,"Tôi hay bị chóng mặt khi thay đổi tư thế, tuyến giáp phình to. Tôi có thể đang bị bệnh gì?
"
Bướu Giáp Keo,"Tôi đang cảm thấy tuyến giáp của mình có một khối u lớn, gây khó thở. Tôi có thể đang bị bệnh gì?
"
Bướu Giáp Keo,"Tôi bị khó nuốt, tuyến giáp to và phình tĩnh mạch cổ. Tôi có thể đang bị bệnh gì?
"
